產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,累計營業收入-當月累計營收,累計營業收入-去年累計營收
電子通路業,0.9131102525517979,1.0,0.7210403307923156,0.8494582645748341,0.9021492902896732
電腦及週邊設備業,0.8649036152593061,0.9399997540152272,0.741025841607836,0.8615458456436984,0.8962844087569175
油電燃氣業,0.7394568191410603,0.8711607615860318,0.5567826571447475,0.7271454691316372,0.8191789978952188
半導體業,0.35580158195573086,0.44277948289936986,0.32327064532281646,0.3826565715019507,0.4211494600024295
塑膠工業,0.3361445282275237,0.40763701857470686,0.26863748565460166,0.36261341740375663,0.4381649105459886
航運業,0.281616096742194,0.35606150242197737,0.3137369210969841,0.320097163470304,0.5148523353383554
食品工業,0.2713957418698382,0.35138896907321254,0.18349907328056028,0.28731591048707805,0.25038786158491255
金融保險業,0.2660183866542088,0.3656210823042262,0.2259525937181226,0.37858028406923133,0.43205303334040884
運動休閒,0.2212177002839391,0.2809458334672183,0.21260518726160182,0.27209225431020173,0.289038912461757
貿易百貨,0.2185177681254063,0.2687369579084022,0.2135309880353174,0.23460921626385822,0.23012782293908865
水泥工業,0.18061457899404568,0.22338242930116828,0.15148256883133568,0.2125716579989468,0.20130105103026708
造紙工業,0.17564122216765382,0.206627782536455,0.13983225734010046,0.19212068787764297,0.20308266708953773
鋼鐵工業,0.1712500539112869,0.21412029436539187,0.13013440401925738,0.20206499127496047,0.2308151753872911
通信網路業,0.1456618323556748,0.16484284802036392,0.11420774944956427,0.15701832997071666,0.1409847282466159
數位雲端,0.1316428121006335,0.16863228114419773,0.08811459573156005,0.15914940781430645,0.13783649760132047
電子零組件業,0.1316227809163961,0.15040564493621358,0.11046873943510699,0.12985025012159598,0.1379064782069242
電器電纜,0.11648388042739644,0.12456408235238828,0.07081383679059974,0.13017686853451568,0.11759167663630293
汽車工業,0.11537464102702674,0.13645701314098266,0.07623911917037579,0.13332731340218473,0.10738454654164625
橡膠工業,0.11181024836016719,0.1361886093643152,0.09125269316226148,0.12378359243703009,0.1326241402448523
光電業,0.1024975076826931,0.11957959262033335,0.07640015992364609,0.10094382354216687,0.11822494713054384
紡織纖維,0.07574435716806865,0.09152197088579708,0.05778556581504379,0.08225353878947042,0.09098341083534806
玻璃陶瓷,0.06379856440589596,0.08178964437109368,0.03682330298460355,0.06605832783387282,0.061124873201188805
化學工業,0.05168195238781842,0.06031371543398476,0.03453258418910845,0.05534057789298875,0.059520034191304486
建材營造,0.04412574733524736,0.05793792400748754,0.016097078078317548,0.03301057675460004,0.02889710037781955
居家生活,0.04333642406342778,0.049501222325228286,0.025279730365490694,0.041419660846437785,0.047487890706951294
資訊服務業,0.037761301993285736,0.03801450954026,0.020457196975854484,0.03800975139594589,0.03259088186606613
電機機械,0.03644050026013756,0.04317597253855121,0.02044906076857365,0.04007205098928564,0.0366245546576291
觀光餐旅,0.02117965898764811,0.025922891088481396,0.0017435972705617784,0.021432647246148493,0.006819474250874932
綠能環保,0.015224236676494599,0.02102082264204479,0.0048109390467413644,0.014358894412579514,0.01230807484609075
